Scores...
LacI_sensor,AraC_sensor,TetR_sensor,AmtR,HlyIIR,QacR,BetI,IcaRA,SrpR,LitR,BM3R1,YFP_reporter,YFP_reporter_2
3.40e-03,8.20e-03,1.30e-03,3.77e+00,2.50e+00,2.80e+00,7.53e-02,1.35e+00,1.43e+00,7.23e-02,1.20e-02,5.73e-04,9.15e-05
3.40e-03,8.20e-03,4.40e+00,3.77e+00,2.50e+00,3.19e-02,7.53e-02,1.35e+00,7.05e-03,8.50e-02,7.78e-01,5.73e-04,5.91e-03
3.40e-03,2.50e+00,1.30e-03,3.77e+00,7.30e-02,2.80e+00,8.73e-02,1.24e+00,1.23e+00,7.24e-02,1.33e-02,6.63e-04,1.01e-04
3.40e-03,2.50e+00,4.40e+00,3.77e+00,7.30e-02,3.19e-02,8.73e-02,1.24e+00,7.05e-03,8.72e-02,7.76e-01,6.63e-04,5.90e-03
2.80e+00,8.20e-03,1.30e-03,7.02e-02,2.50e+00,2.80e+00,1.15e-01,1.04e+00,8.35e-01,7.26e-02,2.11e-02,8.74e-04,1.60e-04
2.80e+00,8.20e-03,4.40e+00,7.02e-02,2.50e+00,3.19e-02,1.15e-01,1.04e+00,7.05e-03,9.31e-02,7.70e-01,8.74e-04,5.85e-03
2.80e+00,2.50e+00,1.30e-03,7.02e-02,7.30e-02,2.80e+00,3.52e+00,9.44e-02,7.10e-03,7.43e-02,7.85e-01,2.68e-02,5.97e-03
2.80e+00,2.50e+00,4.40e+00,7.02e-02,7.30e-02,3.19e-02,3.52e+00,9.44e-02,7.01e-03,7.96e-01,2.67e-02,2.68e-02,2.03e-04
""
Binary...
LacI_sensor_I/O,AraC_sensor_I/O,TetR_sensor_I/O,AmtR_I/O,HlyIIR_I/O,QacR_I/O,BetI_I/O,IcaRA_I/O,SrpR_I/O,LitR_I/O,BM3R1_I/O,YFP_reporter_I/O,YFP_reporter_2_I/O
0,0,0,1,1,1,0,1,1,0,0,0,0
0,0,1,1,1,0,0,1,0,0,1,0,1
0,1,0,1,0,1,0,1,1,0,0,0,0
0,1,1,1,0,0,0,1,0,0,1,0,1
1,0,0,0,1,1,0,1,1,0,0,0,0
1,0,1,0,1,0,0,1,0,0,1,0,1
1,1,0,0,0,1,1,0,0,0,1,1,1
1,1,1,0,0,0,1,0,0,1,0,1,0
