Scores...
LuxR_sensor,CinR_sensor,TetR_sensor,LmrA,HlyIIR,BM3R1,SrpR,PhlF,AmtR,VanR,BetI,YFP_reporter,YFP_reporter_2
3.00e-02,5.00e-03,4.00e-02,1.12e+00,2.06e+00,5.81e-01,9.87e-03,7.49e+00,1.60e+00,4.35e-02,5.83e-02,9.87e-03,5.83e-02
3.00e-02,5.00e-03,1.97e+00,1.12e+00,2.06e+00,9.75e-03,9.87e-03,7.49e+00,4.17e-02,7.28e-02,2.80e+00,9.87e-03,2.80e+00
3.00e-02,3.18e+00,4.00e-02,1.12e+00,4.88e-03,5.81e-01,1.10e-02,7.49e+00,1.58e+00,4.35e-02,5.90e-02,1.10e-02,5.90e-02
3.00e-02,3.18e+00,1.97e+00,1.12e+00,4.88e-03,9.75e-03,1.10e-02,7.49e+00,4.17e-02,7.28e-02,2.80e+00,1.10e-02,2.80e+00
2.23e+00,5.00e-03,4.00e-02,8.18e-02,2.06e+00,5.81e-01,3.09e-02,7.49e+00,1.26e+00,4.35e-02,7.53e-02,3.09e-02,7.53e-02
2.23e+00,5.00e-03,1.97e+00,8.18e-02,2.06e+00,9.75e-03,3.09e-02,7.49e+00,4.16e-02,7.28e-02,2.80e+00,3.09e-02,2.80e+00
2.23e+00,3.18e+00,4.00e-02,8.18e-02,4.88e-03,5.81e-01,2.15e+00,6.87e-03,4.51e-02,4.74e-02,2.81e+00,2.15e+00,2.81e+00
2.23e+00,3.18e+00,1.97e+00,8.18e-02,4.88e-03,9.75e-03,2.15e+00,6.87e-03,3.78e-02,6.12e+00,5.54e-02,2.15e+00,5.54e-02
""
Binary...
LuxR_sensor_I/O,CinR_sensor_I/O,TetR_sensor_I/O,LmrA_I/O,HlyIIR_I/O,BM3R1_I/O,SrpR_I/O,PhlF_I/O,AmtR_I/O,VanR_I/O,BetI_I/O,YFP_reporter_I/O,YFP_reporter_2_I/O
0,0,0,1,1,1,0,1,1,0,0,0,0
0,0,1,1,1,0,0,1,0,0,1,0,1
0,1,0,1,0,1,0,1,1,0,0,0,0
0,1,1,1,0,0,0,1,0,0,1,0,1
1,0,0,0,1,1,0,1,1,0,0,0,0
1,0,1,0,1,0,0,1,0,0,1,0,1
1,1,0,0,0,1,1,0,0,0,1,1,1
1,1,1,0,0,0,1,0,0,1,0,1,0
