Scores...
TetR_sensor,LacI_sensor,LuxR_sensor,QacR,AmtR,SrpR,IcaRA,HlyIIR,PhlF,YFP_reporter
1.30e-03,3.40e-03,2.50e-02,2.80e+00,3.77e+00,2.06e+00,8.60e-02,2.23e+00,2.00e-02,1.52e-04
1.30e-03,3.40e-03,3.10e-01,2.80e+00,3.77e+00,9.15e-02,8.60e-02,2.23e+00,2.04e-02,1.55e-04
1.30e-03,2.80e+00,2.50e-02,2.80e+00,7.02e-02,2.06e+00,9.91e-02,2.12e+00,2.00e-02,1.52e-04
1.30e-03,2.80e+00,3.10e-01,2.80e+00,7.02e-02,9.15e-02,9.91e-02,2.12e+00,2.05e-02,1.56e-04
4.40e+00,3.40e-03,2.50e-02,3.19e-02,3.77e+00,2.06e+00,9.29e-02,2.17e+00,2.00e-02,1.52e-04
4.40e+00,3.40e-03,3.10e-01,3.19e-02,3.77e+00,9.15e-02,9.29e-02,2.17e+00,2.05e-02,1.55e-04
4.40e+00,2.80e+00,2.50e-02,3.19e-02,7.02e-02,2.06e+00,1.12e+00,9.36e-02,2.06e-02,1.56e-04
4.40e+00,2.80e+00,3.10e-01,3.19e-02,7.02e-02,9.15e-02,1.12e+00,9.36e-02,4.86e+00,3.69e-02
""
Binary...
TetR_sensor_I/O,LacI_sensor_I/O,LuxR_sensor_I/O,QacR_I/O,AmtR_I/O,SrpR_I/O,IcaRA_I/O,HlyIIR_I/O,PhlF_I/O,YFP_reporter_I/O
0,0,0,1,1,1,0,1,0,0
0,0,1,1,1,0,0,1,0,0
0,1,0,1,0,1,0,1,0,0
0,1,1,1,0,0,0,1,0,0
1,0,0,0,1,1,0,1,0,0
1,0,1,0,1,0,0,1,0,0
1,1,0,0,0,1,1,0,0,0
1,1,1,0,0,0,1,0,1,1
