Scores...
TetR_sensor,LacI_sensor,AraC_sensor,SrpR,QacR,AmtR,PhlF,YFP_reporter_3
1.30e-03,3.40e-03,8.20e-03,2.10e+00,2.80e+00,7.60e-02,2.02e-02,1.53e-04
1.30e-03,3.40e-03,2.50e+00,2.10e+00,2.80e+00,6.46e-02,2.02e-02,1.53e-04
1.30e-03,2.80e+00,8.20e-03,7.19e-03,3.55e-02,3.50e+00,2.01e-02,1.53e-04
1.30e-03,2.80e+00,2.50e+00,7.19e-03,3.55e-02,7.22e-02,6.53e+00,4.96e-02
4.40e+00,3.40e-03,8.20e-03,2.10e+00,3.19e-02,7.60e-02,6.53e+00,4.96e-02
4.40e+00,3.40e-03,2.50e+00,2.10e+00,3.19e-02,6.46e-02,6.63e+00,5.04e-02
4.40e+00,2.80e+00,8.20e-03,7.19e-03,3.06e-02,3.50e+00,2.01e-02,1.53e-04
4.40e+00,2.80e+00,2.50e+00,7.19e-03,3.06e-02,7.22e-02,6.58e+00,5.00e-02
""
Binary...
TetR_sensor_I/O,LacI_sensor_I/O,AraC_sensor_I/O,SrpR_I/O,QacR_I/O,AmtR_I/O,PhlF_I/O,YFP_reporter_3_I/O
0,0,0,1,1,0,0,0
0,0,1,1,1,0,0,0
0,1,0,0,0,1,0,0
0,1,1,0,0,0,1,1
1,0,0,1,0,0,1,1
1,0,1,1,0,0,1,1
1,1,0,0,0,1,0,0
1,1,1,0,0,0,1,1
