Scores...
AraC_sensor,TetR_sensor,LacI_sensor,AmeR,IcaRA,QacR,PhlF,YFP_reporter_3
8.20e-03,1.30e-03,3.40e-03,3.79e+00,2.17e+00,3.27e-02,2.05e-02,1.56e-04
8.20e-03,1.30e-03,2.80e+00,3.79e+00,9.98e-02,3.27e-02,6.19e+00,4.71e-02
8.20e-03,4.40e+00,3.40e-03,2.15e-01,9.05e-02,1.31e+00,2.34e-02,1.78e-04
8.20e-03,4.40e+00,2.80e+00,2.15e-01,8.53e-02,1.31e+00,2.35e-02,1.78e-04
2.50e+00,1.30e-03,3.40e-03,3.79e+00,2.17e+00,3.08e-02,2.05e-02,1.56e-04
2.50e+00,1.30e-03,2.80e+00,3.79e+00,9.98e-02,3.08e-02,6.22e+00,4.73e-02
2.50e+00,4.40e+00,3.40e-03,2.15e-01,9.05e-02,3.59e-02,6.29e+00,4.78e-02
2.50e+00,4.40e+00,2.80e+00,2.15e-01,8.53e-02,3.59e-02,6.37e+00,4.84e-02
""
Binary...
AraC_sensor_I/O,TetR_sensor_I/O,LacI_sensor_I/O,AmeR_I/O,IcaRA_I/O,QacR_I/O,PhlF_I/O,YFP_reporter_3_I/O
0,0,0,1,1,0,0,0
0,0,1,1,0,0,1,1
0,1,0,0,0,1,0,0
0,1,1,0,0,1,0,0
1,0,0,1,1,0,0,0
1,0,1,1,0,0,1,1
1,1,0,0,0,0,1,1
1,1,1,0,0,0,1,1
